#   sigma=100.0  ratio=1.1
# k Delta_tot
0.01  2.478313836788548e-11
0.01268961003167922  5.062917553808406e-11
0.01610262027560939  1.0341515475212594e-10
0.020433597178569417  2.1118790281246265e-10
0.02592943797404667  4.3111716878536185e-10
0.03290344562312668  8.795621837032309e-10
0.041753189365604  1.7927822281877928e-09
0.05298316906283707  3.6486254569345357e-09
0.06723357536499334  7.407521554415305e-09
0.08531678524172806  1.4980340860525208e-08
0.10826367338740546  3.0106776374396816e-08
0.1373823795883263  5.991119964226652e-08
0.17433288221999882  1.173759871754255e-07
0.2212216291070449  2.2445123512362875e-07
0.2807216203941177  4.136556267865754e-07
0.3562247890262442  7.220505519984813e-07
0.4520353656360243  1.1682744754938847e-06
0.5736152510448679  1.713932225812634e-06
0.727895384398315  2.24608874575587e-06
0.9236708571873861  2.6302900518481176e-06
1.1721022975334805  2.797054416126938e-06
1.4873521072935119  2.7606715275028642e-06
1.8873918221350976  2.575765660644884e-06
2.395026619987486  2.301867448015317e-06
3.039195382313198  1.9894373343604715e-06
3.856620421163472  1.6754167079056343e-06
4.893900918477494  1.3831774122657902e-06
6.2101694189156165  1.1249047511666357e-06
7.880462815669913  9.047001285257749e-07
10.0  7.217812232458157e-07
