#   sigma=76  ratio=1.1
# k Delta_tot
1.0  4.236544132451773e-06
1.1787686347935873  4.377305525098469e-06
1.3894954943731377  4.366219520761884e-06
1.637893706954064  4.230999682207781e-06
1.93069772888325  4.002985493110942e-06
2.2758459260747883  3.7122269723272294e-06
2.6826957952797255  3.385170825650453e-06
3.1622776601683795  3.043570964823312e-06
3.72759372031494  2.70417892328049e-06
4.39397056076079  2.3789929392482293e-06
5.17947467923121  2.0758435363081286e-06
6.1054022965853285  1.7992044577797271e-06
7.196856730011519  1.5509540711401344e-06
8.483428982440719  1.3322332174991432e-06
10.0  1.1383474198205885e-06
