#T  =  50 
# alpha    sigma 
0.16326530612244897 1 
0.18367346938775508 1 
0.2040816326530612 1 
0.22448979591836732 1 
0.24489795918367346 1 
0.26530612244897955 1 
0.2857142857142857 1 
0.3061224489795918 1 
0.32653061224489793 1 
0.3469387755102041 1 
0.36734693877551017 1 
0.3877551020408163 1 
0.4081632653061224 1 
0.42857142857142855 1 
0.44897959183673464 1 
0.4693877551020408 1 
0.4897959183673469 1 
0.5102040816326531 1 
0.5306122448979591 1 
0.5510204081632653 1 
0.5714285714285714 1 
0.5918367346938775 1 
0.6122448979591836 1 
0.6326530612244897 1 
0.6530612244897959 1 
0.673469387755102 1 
0.6938775510204082 1 
0.7142857142857142 1 
0.7346938775510203 1 
0.7551020408163265 1 
0.7755102040816326 1 
0.7959183673469387 1 
0.8163265306122448 1 
0.836734693877551 1 
0.8571428571428571 1 
0.8775510204081632 1 
0.8979591836734693 1 
0.9183673469387754 1 
0.9387755102040816 1 
0.9591836734693877 1 
0.9795918367346939 1 
1.0 1 
0.12244897959183673 2 
0.14285714285714285 2 
0.16326530612244897 2 
0.18367346938775508 2 
0.2040816326530612 2 
0.22448979591836732 2 
0.24489795918367346 2 
0.26530612244897955 2 
0.2857142857142857 2 
0.3061224489795918 2 
0.32653061224489793 2 
0.3469387755102041 2 
0.36734693877551017 2 
0.3877551020408163 2 
0.4081632653061224 2 
0.42857142857142855 2 
0.44897959183673464 2 
0.4693877551020408 2 
0.4897959183673469 2 
0.5102040816326531 2 
0.5306122448979591 2 
0.5510204081632653 2 
0.5714285714285714 2 
0.5918367346938775 2 
0.6122448979591836 2 
0.6326530612244897 2 
0.6530612244897959 2 
0.673469387755102 2 
0.6938775510204082 2 
0.7142857142857142 2 
0.7346938775510203 2 
0.7551020408163265 2 
0.7755102040816326 2 
0.7959183673469387 2 
0.8163265306122448 2 
0.836734693877551 2 
0.8571428571428571 2 
0.8775510204081632 2 
0.8979591836734693 2 
0.9183673469387754 2 
0.9387755102040816 2 
0.9591836734693877 2 
0.9795918367346939 2 
1.0 2 
0.12244897959183673 3 
0.14285714285714285 3 
0.16326530612244897 3 
0.18367346938775508 3 
0.2040816326530612 3 
0.22448979591836732 3 
0.24489795918367346 3 
0.26530612244897955 3 
0.2857142857142857 3 
0.3061224489795918 3 
0.32653061224489793 3 
0.3469387755102041 3 
0.36734693877551017 3 
0.3877551020408163 3 
0.4081632653061224 3 
0.42857142857142855 3 
0.44897959183673464 3 
0.4693877551020408 3 
0.4897959183673469 3 
0.5102040816326531 3 
0.5306122448979591 3 
0.5510204081632653 3 
0.5714285714285714 3 
0.5918367346938775 3 
0.6122448979591836 3 
0.6326530612244897 3 
0.6530612244897959 3 
0.673469387755102 3 
0.6938775510204082 3 
0.7142857142857142 3 
0.7346938775510203 3 
0.7551020408163265 3 
0.7755102040816326 3 
0.7959183673469387 3 
0.8163265306122448 3 
0.836734693877551 3 
0.8571428571428571 3 
0.8775510204081632 3 
0.8979591836734693 3 
0.9183673469387754 3 
0.9387755102040816 3 
0.9591836734693877 3 
0.9795918367346939 3 
1.0 3 
0.12244897959183673 4 
0.14285714285714285 4 
0.16326530612244897 4 
0.18367346938775508 4 
0.2040816326530612 4 
0.22448979591836732 4 
0.24489795918367346 4 
0.26530612244897955 4 
0.2857142857142857 4 
0.3061224489795918 4 
0.32653061224489793 4 
0.3469387755102041 4 
0.36734693877551017 4 
0.3877551020408163 4 
0.4081632653061224 4 
0.42857142857142855 4 
0.44897959183673464 4 
0.4693877551020408 4 
0.4897959183673469 4 
0.5102040816326531 4 
0.5306122448979591 4 
0.5510204081632653 4 
0.5714285714285714 4 
0.5918367346938775 4 
0.6122448979591836 4 
0.6326530612244897 4 
0.6530612244897959 4 
0.673469387755102 4 
0.6938775510204082 4 
0.7142857142857142 4 
0.7346938775510203 4 
0.7551020408163265 4 
0.7755102040816326 4 
0.7959183673469387 4 
0.8163265306122448 4 
0.836734693877551 4 
0.8571428571428571 4 
0.8775510204081632 4 
0.8979591836734693 4 
0.9183673469387754 4 
0.9387755102040816 4 
0.9591836734693877 4 
0.9795918367346939 4 
1.0 4 
0.12244897959183673 5 
0.14285714285714285 5 
0.16326530612244897 5 
0.18367346938775508 5 
0.2040816326530612 5 
0.22448979591836732 5 
0.24489795918367346 5 
0.26530612244897955 5 
0.2857142857142857 5 
0.3061224489795918 5 
0.32653061224489793 5 
0.3469387755102041 5 
0.36734693877551017 5 
0.3877551020408163 5 
0.4081632653061224 5 
0.42857142857142855 5 
0.44897959183673464 5 
0.4693877551020408 5 
0.4897959183673469 5 
0.5102040816326531 5 
0.5306122448979591 5 
0.5510204081632653 5 
0.5714285714285714 5 
0.5918367346938775 5 
0.6122448979591836 5 
0.6326530612244897 5 
0.6530612244897959 5 
0.673469387755102 5 
0.6938775510204082 5 
0.7142857142857142 5 
0.7346938775510203 5 
0.7551020408163265 5 
0.7755102040816326 5 
0.7959183673469387 5 
0.8163265306122448 5 
0.836734693877551 5 
0.8571428571428571 5 
0.8775510204081632 5 
0.8979591836734693 5 
0.9183673469387754 5 
0.9387755102040816 5 
0.9591836734693877 5 
0.9795918367346939 5 
1.0 5 
0.12244897959183673 6 
0.14285714285714285 6 
0.16326530612244897 6 
0.18367346938775508 6 
0.2040816326530612 6 
0.22448979591836732 6 
0.24489795918367346 6 
0.26530612244897955 6 
0.2857142857142857 6 
0.3061224489795918 6 
0.32653061224489793 6 
0.3469387755102041 6 
0.36734693877551017 6 
0.3877551020408163 6 
0.4081632653061224 6 
0.42857142857142855 6 
0.44897959183673464 6 
0.4693877551020408 6 
0.4897959183673469 6 
0.5102040816326531 6 
0.5306122448979591 6 
0.5510204081632653 6 
0.5714285714285714 6 
0.5918367346938775 6 
0.6122448979591836 6 
0.6326530612244897 6 
0.6530612244897959 6 
0.673469387755102 6 
0.6938775510204082 6 
0.7142857142857142 6 
0.7346938775510203 6 
0.7551020408163265 6 
0.7755102040816326 6 
0.7959183673469387 6 
0.8163265306122448 6 
0.836734693877551 6 
0.8571428571428571 6 
0.8775510204081632 6 
0.8979591836734693 6 
0.9183673469387754 6 
0.9387755102040816 6 
0.9591836734693877 6 
0.9795918367346939 6 
1.0 6 
0.12244897959183673 7 
0.14285714285714285 7 
0.16326530612244897 7 
0.18367346938775508 7 
0.2040816326530612 7 
0.22448979591836732 7 
0.24489795918367346 7 
0.26530612244897955 7 
0.2857142857142857 7 
0.3061224489795918 7 
0.32653061224489793 7 
0.3469387755102041 7 
0.36734693877551017 7 
0.3877551020408163 7 
0.4081632653061224 7 
0.42857142857142855 7 
0.44897959183673464 7 
0.4693877551020408 7 
0.4897959183673469 7 
0.5102040816326531 7 
0.5306122448979591 7 
0.5510204081632653 7 
0.5714285714285714 7 
0.5918367346938775 7 
0.6122448979591836 7 
0.6326530612244897 7 
0.6530612244897959 7 
0.673469387755102 7 
0.6938775510204082 7 
0.7142857142857142 7 
0.7346938775510203 7 
0.7551020408163265 7 
0.7755102040816326 7 
0.7959183673469387 7 
0.8163265306122448 7 
0.836734693877551 7 
0.8571428571428571 7 
0.8775510204081632 7 
0.8979591836734693 7 
0.9183673469387754 7 
0.9387755102040816 7 
0.9591836734693877 7 
0.9795918367346939 7 
1.0 7 
0.12244897959183673 8 
0.14285714285714285 8 
0.16326530612244897 8 
0.18367346938775508 8 
0.2040816326530612 8 
0.22448979591836732 8 
0.24489795918367346 8 
0.26530612244897955 8 
0.2857142857142857 8 
0.3061224489795918 8 
0.32653061224489793 8 
0.3469387755102041 8 
0.36734693877551017 8 
0.3877551020408163 8 
0.4081632653061224 8 
0.42857142857142855 8 
0.44897959183673464 8 
0.4693877551020408 8 
0.4897959183673469 8 
0.5102040816326531 8 
0.5306122448979591 8 
0.5510204081632653 8 
0.5714285714285714 8 
0.5918367346938775 8 
0.6122448979591836 8 
0.6326530612244897 8 
0.6530612244897959 8 
0.673469387755102 8 
0.6938775510204082 8 
0.7142857142857142 8 
0.7346938775510203 8 
0.7551020408163265 8 
0.7755102040816326 8 
0.7959183673469387 8 
0.8163265306122448 8 
0.836734693877551 8 
0.8571428571428571 8 
0.8775510204081632 8 
0.8979591836734693 8 
0.9183673469387754 8 
0.9387755102040816 8 
0.9591836734693877 8 
0.9795918367346939 8 
1.0 8 
0.12244897959183673 9 
0.14285714285714285 9 
0.16326530612244897 9 
0.18367346938775508 9 
0.2040816326530612 9 
0.22448979591836732 9 
0.24489795918367346 9 
0.26530612244897955 9 
0.2857142857142857 9 
0.3061224489795918 9 
0.32653061224489793 9 
0.3469387755102041 9 
0.36734693877551017 9 
0.3877551020408163 9 
0.4081632653061224 9 
0.42857142857142855 9 
0.44897959183673464 9 
0.4693877551020408 9 
0.4897959183673469 9 
0.5102040816326531 9 
0.5306122448979591 9 
0.5510204081632653 9 
0.5714285714285714 9 
0.5918367346938775 9 
0.6122448979591836 9 
0.6326530612244897 9 
0.6530612244897959 9 
0.673469387755102 9 
0.6938775510204082 9 
0.7142857142857142 9 
0.7346938775510203 9 
0.7551020408163265 9 
0.7755102040816326 9 
0.7959183673469387 9 
0.8163265306122448 9 
0.836734693877551 9 
0.8571428571428571 9 
0.8775510204081632 9 
0.8979591836734693 9 
0.9183673469387754 9 
0.9387755102040816 9 
0.9591836734693877 9 
0.9795918367346939 9 
1.0 9 
0.12244897959183673 10 
0.14285714285714285 10 
0.16326530612244897 10 
0.18367346938775508 10 
0.2040816326530612 10 
0.22448979591836732 10 
0.24489795918367346 10 
0.26530612244897955 10 
0.2857142857142857 10 
0.3061224489795918 10 
0.32653061224489793 10 
0.3469387755102041 10 
0.36734693877551017 10 
0.3877551020408163 10 
0.4081632653061224 10 
0.42857142857142855 10 
0.44897959183673464 10 
0.4693877551020408 10 
0.4897959183673469 10 
0.5102040816326531 10 
0.5306122448979591 10 
0.5510204081632653 10 
0.5714285714285714 10 
0.5918367346938775 10 
0.6122448979591836 10 
0.6326530612244897 10 
0.6530612244897959 10 
0.673469387755102 10 
0.6938775510204082 10 
0.7142857142857142 10 
0.7346938775510203 10 
0.7551020408163265 10 
0.7755102040816326 10 
0.7959183673469387 10 
0.8163265306122448 10 
0.836734693877551 10 
0.8571428571428571 10 
0.8775510204081632 10 
0.8979591836734693 10 
0.9183673469387754 10 
0.9387755102040816 10 
0.9591836734693877 10 
0.9795918367346939 10 
1.0 10 
0.12244897959183673 11 
0.14285714285714285 11 
0.16326530612244897 11 
0.18367346938775508 11 
0.2040816326530612 11 
0.22448979591836732 11 
0.24489795918367346 11 
0.26530612244897955 11 
0.2857142857142857 11 
0.3061224489795918 11 
0.32653061224489793 11 
0.3469387755102041 11 
0.36734693877551017 11 
0.3877551020408163 11 
0.4081632653061224 11 
0.42857142857142855 11 
0.44897959183673464 11 
0.4693877551020408 11 
0.4897959183673469 11 
0.5102040816326531 11 
0.5306122448979591 11 
0.5510204081632653 11 
0.5714285714285714 11 
0.5918367346938775 11 
0.6122448979591836 11 
0.6326530612244897 11 
0.6530612244897959 11 
0.673469387755102 11 
0.6938775510204082 11 
0.7142857142857142 11 
0.7346938775510203 11 
0.7551020408163265 11 
0.7755102040816326 11 
0.7959183673469387 11 
0.8163265306122448 11 
0.836734693877551 11 
0.8571428571428571 11 
0.8775510204081632 11 
0.8979591836734693 11 
0.9183673469387754 11 
0.9387755102040816 11 
0.9591836734693877 11 
0.9795918367346939 11 
1.0 11 
0.12244897959183673 12 
0.14285714285714285 12 
0.16326530612244897 12 
0.18367346938775508 12 
0.2040816326530612 12 
0.22448979591836732 12 
0.24489795918367346 12 
0.26530612244897955 12 
0.2857142857142857 12 
0.3061224489795918 12 
0.32653061224489793 12 
0.3469387755102041 12 
0.36734693877551017 12 
0.3877551020408163 12 
0.4081632653061224 12 
0.42857142857142855 12 
0.44897959183673464 12 
0.4693877551020408 12 
0.4897959183673469 12 
0.5102040816326531 12 
0.5306122448979591 12 
0.5510204081632653 12 
0.5714285714285714 12 
0.5918367346938775 12 
0.6122448979591836 12 
0.6326530612244897 12 
0.6530612244897959 12 
0.673469387755102 12 
0.6938775510204082 12 
0.7142857142857142 12 
0.7346938775510203 12 
0.7551020408163265 12 
0.7755102040816326 12 
0.7959183673469387 12 
0.8163265306122448 12 
0.836734693877551 12 
0.8571428571428571 12 
0.8775510204081632 12 
0.8979591836734693 12 
0.9183673469387754 12 
0.9387755102040816 12 
0.9591836734693877 12 
0.9795918367346939 12 
1.0 12 
0.12244897959183673 13 
0.14285714285714285 13 
0.16326530612244897 13 
0.18367346938775508 13 
0.2040816326530612 13 
0.22448979591836732 13 
0.24489795918367346 13 
0.26530612244897955 13 
0.2857142857142857 13 
0.3061224489795918 13 
0.32653061224489793 13 
0.3469387755102041 13 
0.36734693877551017 13 
0.3877551020408163 13 
0.4081632653061224 13 
0.42857142857142855 13 
0.44897959183673464 13 
0.4693877551020408 13 
0.4897959183673469 13 
0.5102040816326531 13 
0.5306122448979591 13 
0.5510204081632653 13 
0.5714285714285714 13 
0.5918367346938775 13 
